id,name,type,expansion,link,parentOverride
993,Broken Isles,Skip,,,
994,Argus,Skip,,,
997,Tirisfal Glades,Skip,,,
998,Undercity,Unknown,,908,
1009,Atul'Aman,Skip,,,
1011,Zandalar,Skip,,,
1012,Stormwind City,Skip,,,
1013,The Stockade,Skip,,,
1014,Kul Tiras,Skip,,,
1021,Chamber of Heart,Skip,,,
1022,Uncharted Island,Skip,,,
1032,Skittering Hollow,Skip,,,
1033,The Rotting Mire,Skip,,,
1034,Verdant Wilds,Skip,,,
1035,Molten Cay,Skip,,,
1036,The Dread Chain,Skip,,,
1037,Whispering Reef,Skip,,,
1044,Arathi Highlands,Skip,,,
1045,"Thros, The Blighted Lands",Skip,,,
1156,The Great Sea,Skip,,,
1157,The Great Sea,Skip,,,
1158,Arathi Highlands,Skip,,,
1159,Blackrock Depths,Skip,,,
1160,Blackrock Depths,Skip,,,
1163,Dazar'alor,Skip,,,
1169,Tol Dagor,Skip,,,
1170,Gorgrond - Mag'har Scenario,Skip,,,
1181,Zuldazar,Skip,,,
1186,Blackrock Depths,Skip,,,
1187,Azsuna,Skip,,,
1188,Val'sharah,Skip,,,
1189,Highmountain,Skip,,,
1190,Stormheim,Skip,,,
1191,Suramar,Skip,,,
1192,Broken Shore,Skip,,,
1193,Zuldazar,Skip,,,
1194,Nazmir,Skip,,,
1195,Vol'dun,Skip,,,
1196,Tiragarde Sound,Skip,,,
1197,Drustvar,Skip,,,
1198,Stormsong Valley,Skip,,,
1203,Darkshore,Skip,,,
1208,Eastern Kingdoms,Skip,,,
1209,Kalimdor,Skip,,,
1244,Arathi Highlands,Skip,,,
1245,Badlands,Skip,,,
1246,Blasted Lands,Skip,,,
1247,Tirisfal Glades,Skip,,,
1248,Silverpine Forest,Skip,,,
1249,Western Plaguelands,Skip,,,
1250,Eastern Plaguelands,Skip,,,
1251,Hillsbrad Foothills,Skip,,,
1252,The Hinterlands,Skip,,,
1253,Dun Morogh,Skip,,,
1254,Searing Gorge,Skip,,,
1255,Burning Steppes,Skip,,,
1256,Elwynn Forest,Skip,,,
1257,Deadwind Pass,Skip,,,
1258,Duskwood,Skip,,,
1259,Loch Modan,Skip,,,
1260,Redridge Mountains,Skip,,,
1261,Swamp of Sorrows,Skip,,,
1262,Westfall,Skip,,,
1263,Wetlands,Skip,,,
1264,Stormwind City,Skip,,,
1265,Ironforge,Skip,,,
1266,Undercity,Skip,,,
1267,Eversong Woods,Skip,,,
1268,Ghostlands,Skip,,,
1269,Silvermoon City,Skip,,,
1270,Isle of Quel'Danas,Skip,,,
1271,Gilneas,Skip,,,
1272,Vashj'ir,Skip,,,
1273,Ruins of Gilneas,Skip,,,
1274,Stranglethorn Vale,Skip,,,
1275,Twilight Highlands,Skip,,,
1276,Tol Barad,Skip,,,
1277,Tol Barad Peninsula,Skip,,,
1305,Durotar,Skip,,,
1306,Mulgore,Skip,,,
1307,Northern Barrens,Skip,,,
1308,Teldrassil,Skip,,,
1309,Darkshore,Skip,,,
1310,Ashenvale,Skip,,,
1311,Thousand Needles,Skip,,,
1312,Stonetalon Mountains,Skip,,,
1313,Desolace,Skip,,,
1314,Feralas,Skip,,,
1315,Dustwallow Marsh,Skip,,,
1316,Tanaris,Skip,,,
1317,Azshara,Skip,,,
1318,Felwood,Skip,,,
1319,Un'Goro Crater,Skip,,,
1320,Moonglade,Skip,,,
1321,Silithus,Skip,,,
1322,Winterspring,Skip,,,
1323,Thunder Bluff,Skip,,,
1324,Darnassus,Skip,,,
1325,Azuremyst Isle,Skip,,,
1326,The Exodar,Skip,,,
1327,Bloodmyst Isle,Skip,,,
1328,Mount Hyjal,Skip,,,
1329,Southern Barrens,Skip,,,
1330,Uldum,Skip,,,
1331,The Exodar,Skip,,,
1332,Darkshore,Skip,,,
1333,Darkshore,Skip,,,
1334,Wintergrasp,Skip,,,
1335,Cooking: Impossible,Skip,,,
1336,Havenswood,Skip,,,
1337,Jorundall,Skip,,,
1338,Darkshore,Skip,,,
1343,8.1 Darkshore Outdoor Final Phase,Skip,,,
1347,Zandalari Treasury,Skip,,,
1348,Zandalari Treasury,Skip,,,
1349,Tol Dagor,Skip,,,
1350,Tol Dagor,Unknown,,1349,
1351,Tol Dagor,Unknown,,1349,
1359,Icecrown Citadel,Skip,,,
1360,Icecrown Citadel,Unknown,,1359,
1362,Shrine of the Storm,Skip,,,
1363,Crucible of Storms,Skip,,,
1371,GnomereganA,Skip,,,
1372,GnomereganB,Skip,,,
1374,GnomereganD,Skip,,,
1375,Halls of Stone,Skip,,,
1379,8.3 Visions of N'Zoth - Prototype,Skip,,,
1380,GnomereganC,Skip,,,
1381,Uldir,Skip,,,
1382,Uldir,Unknown,,1381,
1384,Northrend,Skip,,,
1396,Borean Tundra,Skip,,,
1397,Dragonblight,Skip,,,
1398,Grizzly Hills,Skip,,,
1399,Howling Fjord,Skip,,,
1400,Icecrown,Skip,,,
1401,Sholazar Basin,Skip,,,
1402,The Storm Peaks,Skip,,,
1403,Zul'Drak,Skip,,,
1404,Wintergrasp,Skip,,,
1405,Crystalsong Forest,Skip,,,
1406,Hrothgar's Landing,Skip,,,
1407,Prison of Ink,Skip,,,
1408,Ashran,Skip,,,
1409,Exile's Reach,Skip,,,
1465,Scarlet Halls,Skip,,,
1467,Outland,Skip,,,
1468,The Dreamgrove,Skip,,,
1471,Emerald Dreamway,Skip,,,
1472,The Dragon's Spine,Skip,,,
1474,The Maelstrom - Heart of Azeroth,Skip,,,
1475,The Emerald Dream,Skip,,,
1476,Twilight Highlands,Skip,,,
1478,Ashran,Skip,,,
1479,Baine Rescue,Skip,,,
1501,Crestfall,Skip,,,
1502,Snowblossom Village,Skip,,,
1504,Nazjatar,Skip,,,
1505,Stratholme,Skip,,,
1515,The Eternal Palace,Skip,,,
1516,The Eternal Palace,Unknown,,1515,
1517,The Eternal Palace,Unknown,,1515,
1518,The Eternal Palace,Unknown,,1515,
1519,The Eternal Palace,Unknown,,1515,
1520,The Eternal Palace,Unknown,,1515,
1521,Karazhan Catacombs,Skip,,,
1523,Solesa Naksu [DNT],Skip,,,
1524,,Skip,,,
1531,Crapopolis,Skip,,,
1532,Crapopolis,Skip,,,
1535,Durotar,Skip,,,
1538,Blackwing Descent,Skip,,,
1539,Blackwing Descent,Skip,,,
1540,Halls of Origination,Skip,,,
1541,Halls of Origination,Skip,,,
1542,Halls of Origination,Skip,,,
1544,Mogu'shan Palace,Skip,,,
1545,Mogu'shan Palace,Skip,,,
1546,Mogu'shan Palace,Skip,,,
1547,Mogu'shan Vaults,Skip,,,
1548,Mogu'shan Vaults,Skip,,,
1549,Mogu'shan Vaults,Skip,,,
1552,Caverns of Time,Skip,,,
1553,Caverns of Time,Skip,,,
1554,Serpentshrine Cavern,Skip,,,
1555,Tempest Keep,Skip,,,
1556,Hyjal Summit,Skip,,,
1557,Naxxramas,Skip,,,
1558,Icecrown Citadel,Skip,,,
1559,The Bastion of Twilight,Skip,,,
1560,Blackwing Lair,Skip,,,
1561,Firelands,Skip,,,
1563,Trial of the Crusader,Skip,,,
1569,Bastion,Skip,,,
1573,Mechagon City,Skip,,,
1574,Mechagon City,Skip,,,
1577,Gilneas City,Skip,,,
1578,Blackrock Depths,Skip,,,
1579,Pools Of Power,Skip,,,
1600,Vault of Y'Shaarj,Skip,,,
1602,Icecrown Citadel,Skip,,,
1603,Ardenweald,Skip,,,
1604,Chamber Of Heart,Skip,,,
1609,Darkmaul Citadel,Skip,,,
1610,Darkmaul Citadel,Unknown,,1609,
1611,Dark Citadel,Skip,,,
1614,JT_New_A,Skip,,,
1615,TG10_Floor [Deprecated],Skip,,,
1616,TG11_Floor [Deprecated],Skip,,,
1617,TG12_Floor [Deprecated],Skip,,,
1642,Val'sharah,Skip,,,
1643,Ardenweald,Skip,,,
1647,The Shadowlands,Skip,,,
1648,The Maw,Skip,,,
1656,Torghast - Map Floor 10 [Deprecated],Skip,,,
1658,Alpha_TG_R02,Skip,,,
1659,Alpha_TG_R03,Skip,,,
1661,Alpha_TG_R05,Skip,,,
1681,Icecrown Citadel,Unknown,,1359,
1682,Icecrown Citadel,Unknown,,1359,
1688,Revendreth,Skip,,,
1689,Maldraxxus,Skip,,,
1691,Shattered Grove,Skip,,,
1705,Torghast - Entrance,Skip,,,
1709,Ardenweald,Skip,,,
1715,Vestibule Of Eternity,Skip,,,
1716,Torghast - Map Floor 22,Skip,,,
1717,Chill's Reach,Skip,,,
1720,Covenant_Ard_Torghast,Skip,,,
1724,Vortrexxis,Skip,,,
1726,The North Sea,Skip,,,
1727,The North Sea,Skip,,,
1728,The Runecarver,Skip,,,
1734,Revendreth,Skip,,,
1738,Revendreth,Skip,,,
1739,Ardenweald,Skip,,,
1740,Ardenweald,Skip,,,
1741,Maldraxxus,Skip,,,
1742,Revendreth,Skip,,,
1755,Castle Nathria,Skip,,,
1762,"Torghast, Tower of the Damned",Skip,,,
1813,Bastion,Skip,,,
1814,Maldraxxus,Skip,,,
1833,Torghast,Skip,,,
1834,Torghast - Map Floor 24,Skip,,,
1835,Torghast - Map Floor 25,Skip,,,
1836,Torghast - Map Floor 26,Skip,,,
1837,Torghast - Map Floor 27,Skip,,,
1838,Torghast - Map Floor 41,Skip,,,
1839,Torghast - Map Floor 28,Skip,,,
1840,Torghast - Map Floor 40,Skip,,,
1841,Torghast - Map Floor 39,Skip,,,
1842,Torghast - Map Floor 29,Skip,,,
1843,Torghast - Map Floor 38,Skip,,,
1844,Torghast - Map Floor 32,Skip,,,
1845,Torghast - Map Floor 31,Skip,,,
1846,Torghast - Map Floor 33,Skip,,,
1847,Torghast - Map Floor 34,Skip,,,
1848,Torghast - Map Floor 14,Skip,,,
1849,Torghast - Map Floor 16,Skip,,,
1850,Torghast - Map Floor 18,Skip,,,
1851,Torghast - Map Floor 42,Skip,,,
1852,Torghast - Map Floor 44,Skip,,,
1853,Torghast - Map Floor 46,Skip,,,
1854,Torghast - Map Floor 48,Skip,,,
1855,Torghast - Map Floor 49,Skip,,,
1856,Torghast - Map Floor 50,Skip,,,
1857,Torghast - Map Floor 51,Skip,,,
1858,Torghast - Map Floor 52,Skip,,,
1859,Torghast - Map Floor 53,Skip,,,
1860,Torghast - Map Floor 54,Skip,,,
1861,Torghast - Map Floor 57,Skip,,,
1862,Torghast - Map Floor 59,Skip,,,
1863,Torghast - Map Floor 61,Skip,,,
1864,Torghast - Map Floor 63,Skip,,,
1865,Torghast - Map Floor 64,Skip,,,
1867,Torghast - Map Floor 66,Skip,,,
1868,Torghast - Map Floor 67,Skip,,,
1869,Torghast - Map Floor 68,Skip,,,
1870,Torghast - Map Floor 69,Skip,,,
1871,Torghast - Map Floor 70,Skip,,,
1872,Torghast - Map Floor 71,Skip,,,
1873,Torghast - Map Floor 74,Skip,,,
1874,Torghast - Map Floor 75,Skip,,,
1875,Torghast - Map Floor 76,Skip,,,
1876,Torghast - Map Floor 77,Skip,,,
1877,Torghast - Map Floor 78,Skip,,,
1878,Torghast - Map Floor 80,Skip,,,
1879,Torghast - Map Floor 81,Skip,,,
1880,Torghast - Map Floor 83,Skip,,,
1881,Torghast - Map Floor 84,Skip,,,
1882,Torghast - Map Floor 86,Skip,,,
1883,Torghast - Map Floor 87,Skip,,,
1884,Torghast - Map Floor 88,Skip,,,
1885,Torghast - Map Floor 89,Skip,,,
1886,Torghast - Map Floor 92,Skip,,,
1887,Torghast - Map Floor 93,Skip,,,
1888,Torghast - Map Floor 94,Skip,,,
1889,Torghast - Map Floor 95,Skip,,,
1890,Torghast - Map Floor 97,Skip,,,
1891,Torghast - Map Floor 98,Skip,,,
1892,Torghast - Map Floor 99,Skip,,,
1893,Torghast - Map Floor 100,Skip,,,
1894,Torghast - Map Floor 23,Skip,,,
1895,Torghast - Map Floor 35,Skip,,,
1896,Torghast - Map Floor 56,Skip,,,
1897,Torghast - Map Floor 62,Skip,,,
1898,Torghast - Map Floor 82,Skip,,,
1899,Torghast - Map Floor 101,Skip,,,
1900,Torghast - Map Floor 58,Skip,,,
1901,Torghast - Map Floor 73,Skip,,,
1902,Torghast - Map Floor 79,Skip,,,
1903,Torghast - Map Floor 85,Skip,,,
1904,Torghast - Map Floor 90,Skip,,,
1905,Torghast - Map Floor 96,Skip,,,
1907,Torghast - Map Floor 102,Skip,,,
1908,Torghast - Map Floor 60,Skip,,,
1909,Torghast - Map Floor 21,Skip,,,
1910,Torghast - Map Floor 91,Skip,,,
1914,Torghast,Skip,,,
1917,De Other Side,Skip,,,
1921,Torghast,Skip,,,
1922,Draenor,Skip,,,
1923,Pandaria,Skip,,,
1958,Firelands,Skip,,,
1959,Firelands,Skip,,,
1960,The Maw,Skip,,,
1971,Skyhold,Skip,,,
2005,Ardenweald,Skip,,,
2009,TG106_Floor_MM,Skip,,,
2010,Torghast,Skip,,,
2011,Torghast,Skip,,,
2012,Torghast,Skip,,,
2017,Spires of Ascension,Skip,,,
2018,Spires of Ascension,Skip,,,
2019,Torghast,Skip,,,
2026,The Forbidden Reach Deprecated,Skip,,,
2042,The Crucible,Skip,,,
2046,Zereth Mortis,Skip,,,
2057,Dragon Isles,Skip,,,
2059,Resonant Peaks,Skip,,,
2063,Dragon Isles,Skip,,,
2084,The Emerald Dreamway,Skip,,,
2088,Pandaren Revolution,Skip,,,
2089,The Black Empire,Skip,,,
2090,The Gnoll War,Skip,,,
2091,War of the Shifting Sands,Skip,,,
2092,Azmerloth,Skip,,,
2107,The Forbidden Reach,Skip,,,
2118,The Forbidden Reach,Skip,,,
2127,The Waking Shores,Skip,,,
2128,The Azure Span,Skip,,,
2129,Ohn'ahran Plains,Skip,,,
2130,Thaldraszus,Skip,,,
2131,The Forbidden Reach,Skip,,,
2134,Valdrakken,Skip,,,
2135,Valdrakken,Skip,,,
2146,The Eastern Glades,Skip,,,
2147,Azeroth,Skip,,,
2149,Ohn'ahran Plains,Skip,,,
2171,"Aberrus, the Shadowed Crucible",Skip,,,
2172,"Aberrus, the Shadowed Crucible",Unknown,,2171,
2173,"Aberrus, the Shadowed Crucible",Unknown,,2171,
2174,"Aberrus, the Shadowed Crucible",Unknown,,2171,
2175,Zaralek Cavern,Skip,,,
2176,The Maelstrom,Skip,,,
2183,The Azure Vault,Skip,,,
2201,Azq'roth,Skip,,,
2202,Azewrath,Skip,,,
2203,Azmourne,Skip,,,
2204,Azmerloth,Skip,,,
2205,Ulderoth,Skip,,,
2206,A.Z.E.R.O.T.H.,Skip,,,
2207,The Warlands,Skip,,,
2211,"Aberrus, the Shadowed Crucible",Skip,,,
2220,The Nighthold,Skip,,,
2221,The Nighthold,Skip,,,
2228,The Black Empire,Skip,,,
2230,Halls Of Valor,Skip,,,
2231,Halls Of Valor,Skip,,,
2241,Emerald Dream,Skip,,,
2252,Dragon Isles,Skip,,,
2257,Arathi Highlands,Skip,,,
2266,Millenia's Threshold,Skip,,,
2268,Amirdrassil,Skip,,,
2270,Azj' Kahet,Skip,,,
2271,Isle of Dorn,Skip,,,
2272,The Ringing Deeps,Skip,,,
2273,Hallowfall,Skip,,,
2275,11.0 - Underground [Deprecated],Skip,,,
2276,Khaz Algar,Skip,,,
2298,Nerub-ar Palace,Skip,,,
2304,DarkFlame Cleft,Skip,,,
2305,Dalaran,Skip,,,
2306,Dalaran,Unknown,,2305,
2307,Dalaran,Unknown,,2305,
2311,11.0 -  Hallowfall - [Spreading the Light]- Disabled,Skip,,,
2321,Chamber of Heart,Skip,,,
2322,Hall of Awakening,Skip,,,
2330,Priory of the Sacred Flame,Skip,,,
2354,Silithus,Skip,,,
2366,The Wandering Isle,Skip,,,
2367,Vault of Memory,Skip,,,
2368,Hall of Awakening,Skip,,,
2372,Arathi Highlands,Skip,,,
2373,The War Creche,Skip,,,
2374,Undermine,Skip,,,
2379,"Ny'alotha, the Waking City",Skip,,,
2381,"Ny'alotha, the Waking City",Skip,,,
2382,"Ny'alotha, the Waking City",Skip,,,
2383,"Ny'alotha, the Waking City",Skip,,,
2384,"Ny'alotha, the Waking City",Skip,,,
2394,Labyrinth,Skip,,,
2397,Slayer's Rise,Skip,,,
2398,K'aresh,Skip,,,
2401,Alliance Housing District,Skip,,,
2402,Horde Housing District,Skip,,,
2418,Scarlet Halls,Skip,,,
2431,Minimap_RingingDeeps_Coreway,Skip,,,
2432,Isle of Quel'Danas,Skip,,,
2438,Scarlet Halls,Skip,,,
2443,Silvermoon City,Skip,,,
2451,Arathi Highlands,Skip,,,
2479,Voidstorm,Skip,,,
2480,Harandar,Skip,,,
2481,Eastern Kingdoms,Skip,,,
2540,Sunkiller Sanctum,Skip,,,
2557,Derelict Legion Vessel,Skip,,,
2558,Derelict Legion Vessel,Unknown,,2557,
2561,Quel'Thalas,Skip,,,
2565,Isle of Quel'Danas,Skip,,,
2566,Isle of Quel'Danas,Skip,,,
2567,Eversong Woods,Skip,,,
2568,Zul'Aman,Skip,,,
2569,Isle of Quel'Danas,Skip,,,
2585,Zul'Aman,Skip,,,
2594,Eversong Woods,Skip,,,
2598,Ritual Site,Skip,,,
2622,Val,Skip,,,
2623,Naigtal,Skip,,,
