primaryId,primaryName,achievementCount
2166,"Aberrus, the Shadowed Crucible",38
2190,Sanctum of Chronology,9
2200,Emerald Dream,48
2213,City of Threads,35
2214,The Ringing Deeps,30
2215,Hallowfall,32
2232,Amirdrassil,38
2239,Amirdrassil,0
2248,Isle of Dorn,23
2249,Fungal Folly,101
2250,Kriegval's Rest,101
2251,The Waterworks,101
2259,Tak-Rethan Abyss,101
2269,Earthcrawl Mines,101
2274,Khaz Algar,0
2277,Nightfall Sanctum,101
2291,Nerub-ar Palace,28
2299,The Underkeep,101
2300,The Sinkhole,101
2302,The Dread Pit,101
2303,Darkflame Cleft,4
2308,Priory of the Sacred Flame,4
2310,Skittering Breach,101
2312,Mycomancer Cavern,101
2313,The Spiral Weave,101
2315,The Rookery,4
2335,Cinderbrew Meadery,4
2339,Dornogal,0
2341,The Stonevault,4
2343,City of Threads,4
2345,Deephaul Ravine,3
2346,Undermine,33
2348,Zekvir's Lair,71
2351,Razorwind Shores,0
2357,City of Echoes,4
2359,The Dawnbreaker,4
2362,Blackrock Depths,0
2369,Siren Isle,8
2371,K'aresh,28
2387,Operation: Floodgate,4
2393,Silvermoon City,2
2395,Eversong Woods,51
2396,Excavation Site 9,91
2397,Slayer's Rise,3
2405,Voidstorm,51
2406,Undermine,36
2413,Harandar,53
2420,Sidestreet Sluice,91
2424,Isle of Quel'Danas,0
2425,Demolition Dome,72
2427,Sporefall,3
2433,Murder Row,3
2437,Zul'Aman,56
2444,Slayer's Rise,12
2447,Dastardly Dome,19
2449,Eco-Dome Al'dani,4
2452,Archival Assault,80
2460,Manaforge Omega,28
2484,Voidrazor Sanctuary,72
2492,Windrunner Spire,5
2500,The Blinding Vale,3
2501,Maisara Caverns,5
2502,Shadow Enclave,50
2503,Twilight Crypts,50
2505,Gulf of Memory,50
2506,Shadowguard Point,50
2507,Torment's Rise,5
2509,Vaults of Atal'Utek,0
2510,The Grudge Pit,50
2511,Magisters' Terrace,5
2512,The Coiled Isle,0
2513,Den of Nalorakk,3
2525,The Darkway,50
2528,Sunkiller Sanctum,50
2529,The Voidspire,23
2531,The Dreamrift,8
2533,March on Quel'Danas,12
2535,Atal'Aman,50
2537,Quel'Thalas,5
2541,Arcantina,3
2545,Parhelion Plaza,50
2547,Collegiate Calamity,50
2556,Nexus Point Xenas,6
2572,Voidscar Arena,3
2588,Altar of Fangs,0
2599,Val,16
2600,Naigtal,14
2606,The Venomous Abyss,0
2632,The Tidebound Grotto,0
2633,The Ring of Glory,0
2634,Venomfall Deeps,0
2635,Gnarldor Isle,0
